ForestName plotid dbh stump SpeciesCode
514 KisubiTechnical 2 61.5 0 SapEll
515 KisubiTechnical 2 7.2 0 TarPav
516 KisubiTechnical 3 3.7 0 HugPla
517 KisubiTechnical 3 6.2 0 MaeEmi
518 KisubiTechnical 3 25.5 0 MaeEmi
519 KisubiTechnical 3 24.5 0 MaeEmi
520 KisubiTechnical 3 9.2 0 ScoRha
521 KisubiTechnical 3 16.9 0 SidPar
522 KisubiTechnical 3 5.9 0 SidPar
523 KisubiTechnical 3 8.2 0 SidPar
524 KisubiTechnical 3 9.2 0 TabHol
525 KisubiTechnical 4 3.9 0 ChaAri
526 KisubiTechnical 4 27 0 PolFul
527 KisubiTechnical 4 4.4 0 RytBen
528 KisubiTechnical 4 4.1 0 RytBen
529 KisubiTechnical 4 3.7 0 RytBen
530 KisubiTechnical 4 25.3 0 TetDid
531 KisubiTechnical 5 18.4 0 BeiUga
532 KisubiTechnical 5 4.4 0 BeiUga
533 KisubiTechnical 5 4.1 0 BliUni
534 KisubiTechnical 5 9.5 0 PycAng
535 KisubiTechnical 5 5.7 0 TabHol
536 KisubiTechnical 6 4.3 0 CofEug
537 KisubiTechnical 6 11.6 0 EugCap
538 KisubiTechnical 6 12.4 0 LovTri
539 KisubiTechnical 6 8.3 0 TabHol
540 KisubiTechnical 7 3.9 0 FunEla
541 KisubiTechnical 7 7.3 0 FunEla
542 KisubiTechnical 7 10.6 0 FunEla
543 KisubiTechnical 7 8.1 0 PseMic
544 KisubiTechnical 7 10.8 0 TabHol
545 KisubiTechnical 7 23.3 0 TetDid
546 KisubiTechnical 7 22.4 0 TetDid
547 KisubiTechnical 7 20 0 TetDid
548 KisubiTechnical 7 7.8 0 TetDid
549 KisubiTechnical 8 5.4 0 BliUni
550 KisubiTechnical 8 4 0 BliUni
551 KisubiTechnical 8 3.9 0 FunEla
552 KisubiTechnical 8 22.8 0 MacPyn
553 KisubiTechnical 8 21.5 0 SapEll
554 KisubiTechnical 9 5.2 0 FunEla
555 KisubiTechnical 9 4.4 0 FunEla
556 KisubiTechnical 9 9.2 0 MarDis
557 KisubiTechnical 9 12.5 0 MarDis
558 KisubiTechnical 9 3.9 0 MilExe
559 KisubiTechnical 9 28.8 0 PycAng
560 KisubiTechnical 9 10 0 TecNob
561 KisubiTechnical 10 5.3 0 FunEla
562 KisubiTechnical 10 66 0 MaeEmi
563 KisubiTechnical 10 8 0 OxySpe
564 KisubiTechnical 10 5.7 0 TriRub
565 KisubiTechnical 11 4.5 0 BliUni
566 KisubiTechnical 11 7.4 0 TabHol
567 KisubiTechnical 11 16 0 TabHol
568 KisubiTechnical 11 12.1 0 TabHol
569 KisubiTechnical 11 4.6 0 TriRub
570 KisubiTechnical 12 100.1 0 PipAfr
571 KisubiTechnical 12 4.1 0 TabHol
572 KisubiTechnical 13 10.2 0 BarAcu
573 KisubiTechnical 13 60.1 0 MaeEmi
574 KisubiTechnical 13 71.7 0 SapEll
575 KisubiTechnical 13 14.7 0 TabHol
576 KisubiTechnical 13 9.8 0 TabHol
577 KisubiTechnical 13 8.6 0 TabHol
578 KisubiTechnical 13 46.1 0 TriMad
579 KisubiTechnical 14 4.2 0 FunEla
580 KisubiTechnical 14 19.2 0 FunEla
581 KisubiTechnical 14 27.1 0 MacAng
582 KisubiTechnical 14 6.9 0 TabHol
583 KisubiTechnical 14 3.9 0 TabHol
584 KisubiTechnical 15 7 0 FicAsp
585 KisubiTechnical 15 6.4 0 FunEla
586 KisubiTechnical 15 12.1 0 MilExe
587 KisubiTechnical 15 5.8 0 PycAng
588 KisubiTechnical 15 4.5 0 TabHol
589 KisubiTechnical 15 3.7 0 TabHol
590 KisubiTechnical 15 9.4 0 TabHol
591 KisubiTechnical 16 5 0 TabHol
592 KisubiTechnical 16 4.9 0 TabHol
593 KisubiTechnical 16 3.9 0 TabHol
594 KisubiTechnical 16 11.3 0 TabHol
595 KisubiTechnical 17 8 0 BliUni
596 KisubiTechnical 17 15 0 BliUni
597 KisubiTechnical 17 6.6 0 FicAsp
598 KisubiTechnical 17 19 0 MacAng
599 KisubiTechnical 17 4.3 0 TabHol
600 KisubiTechnical 17 8.9 0 TabHol
601 KisubiTechnical 17 10.2 0 TabHol
602 KisubiTechnical 17 6.1 0 TabHol
603 KisubiTechnical 17 5.3 0 TabHol
604 KisubiTechnical 17 6.1 0 TabHol
605 KisubiTechnical 18 8.4 0 AntTox
606 KisubiTechnical 18 9.3 0 ChaAri
607 KisubiTechnical 18 32.2 0 MacAng
608 KisubiTechnical 18 14 0 TabHol
609 KisubiTechnical 18 8.1 0 TabHol
610 KisubiTechnical 18 8.3 0 TabHol
611 Nzuki 1 40.1 0 AlbZyg
612 Nzuki 1 26.2 0 AlbZyg
613 Nzuki 1 34.5 0 AlbZyg
614 Nzuki 1 4.9 0 ArtHet
615 Nzuki 1 6.5 0 ArtHet
616 Nzuki 1 20.5 0 ArtHet
617 Nzuki 1 51.6 0 FicMuc
618 Nzuki 1 6.2 0 LanWel
619 Nzuki 1 5.5 0 MorLuc
620 Nzuki 2 27.8 0 AntTox
621 Nzuki 2 7.1 0 AntTox
622 Nzuki 2 14.3 0 AntTox
623 Nzuki 2 7 0 BliUni
624 Nzuki 2 11.5 0 FicMuc
625 Nzuki 2 22.2 0 MarDis
626 Nzuki 2 3.8 0 MilExe
627 Nzuki 2 27 0 SapEll
628 Nzuki 2 8.3 0 SteDaw
629 Nzuki 2 25 0 AntTox
630 Nzuki 2 8.3 0 AntTox
631 Nzuki 2 14.3 0 AntTox
632 Nzuki 2 7.1 0 AntTox
633 Nzuki 2 27.8 0 AntTox
634 Nzuki 3 28.8 0 AlbZyg
635 Nzuki 3 21.1 0 AlbZyg
636 Nzuki 3 27.2 0 AlbZyg
637 Nzuki 3 33.4 0 AlbZyg
638 Nzuki 3 5.5 0 AntTox
639 Nzuki 3 7.2 0 ArtHet
640 Nzuki 3 6.9 0 ArtHet
641 Nzuki 3 5.3 0 ArtHet
642 Nzuki 3 9.5 0 BliUni
643 Nzuki 3 4.7 0 BliUni
644 Nzuki 3 44.4 0 MaeEmi
645 Nzuki 3 4.4 0 ParGui
646 Nzuki 3 7.2 0 RytBen
647 Nzuki 3 32.2 0 SapEll
648 Nzuki 3 34.4 0 SapEll
649 Nzuki 3 18 0 SapEll
650 Nzuki 3 35.5 0 SapEll
651 Nzuki 3 9.8 0 SapEll
652 Nzuki 3 14.5 0 SapEll
653 Nzuki 4 7.7 0 AcaNep
654 Nzuki 4 3.8 0 BliUni
655 Nzuki 4 8 0 DeiKil
656 Nzuki 4 4 0 FicAsp
657 Nzuki 4 13 0 FicMuc
658 Nzuki 4 4 0 FicMuc
659 Nzuki 4 3.8 0 FicMuc
660 Nzuki 4 6 0 FicMuc
661 Nzuki 4 5.5 0 FicMuc
662 Nzuki 4 35 0 MaeEmi
663 Nzuki 4 7.4 0 MilExe
664 Nzuki 4 7.4 0 MilExe
665 Nzuki 4 8 0 MilExe
666 Nzuki 4 8.6 0 SapEll
667 Nzuki 4 7 0 SapEll
668 Nzuki 5 6.5 0 AlbZyg
669 Nzuki 5 11.6 0 AntTox
670 Nzuki 5 4 0 AntTox
671 Nzuki 5 4.5 0 AntTox
672 Nzuki 5 4.8 0 BliUni
673 Nzuki 5 11.8 0 BliUni
674 Nzuki 5 18.2 0 BliUni
675 Nzuki 5 6 0 BliUni
676 Nzuki 5 7.1 0 BliUni
677 Nzuki 5 6.9 0 BliWel
